,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
17015,USA,United States,2020-02-13,14,1,0,0,0.042,0.003,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17016,USA,United States,2020-02-14,15,1,0,0,0.045,0.003,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17017,USA,United States,2020-02-15,15,0,0,0,0.045,0.0,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17018,USA,United States,2020-02-16,15,0,0,0,0.045,0.0,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17019,USA,United States,2020-02-17,15,0,0,0,0.045,0.0,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17020,USA,United States,2020-02-18,15,0,0,0,0.045,0.0,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17021,USA,United States,2020-02-19,15,0,0,0,0.045,0.0,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17022,USA,United States,2020-02-20,15,0,0,0,0.045,0.0,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17023,USA,United States,2020-02-21,16,1,0,0,0.048,0.003,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17024,USA,United States,2020-02-22,35,19,0,0,0.106,0.057,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17025,USA,United States,2020-02-23,35,0,0,0,0.106,0.0,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17026,USA,United States,2020-02-24,35,0,0,0,0.106,0.0,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17027,USA,United States,2020-02-25,53,18,0,0,0.16,0.054000000000000006,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17028,USA,United States,2020-02-26,53,0,0,0,0.16,0.0,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17029,USA,United States,2020-02-27,59,6,0,0,0.17800000000000002,0.018000000000000002,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17030,USA,United States,2020-02-28,60,1,0,0,0.18100000000000002,0.003,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17031,USA,United States,2020-02-29,66,6,0,0,0.19899999999999998,0.018000000000000002,0.0,0.0,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17032,USA,United States,2020-03-01,69,3,1,1,0.20800000000000002,0.009000000000000001,0.003,0.003,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17033,USA,United States,2020-03-02,89,20,2,1,0.26899999999999996,0.06,0.006,0.003,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17034,USA,United States,2020-03-03,103,14,6,4,0.311,0.042,0.018000000000000002,0.012,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17035,USA,United States,2020-03-04,125,22,9,3,0.37799999999999995,0.066,0.027000000000000003,0.009000000000000001,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17036,USA,United States,2020-03-05,159,34,11,2,0.48,0.10300000000000001,0.033,0.006,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17037,USA,United States,2020-03-06,233,74,12,1,0.7040000000000001,0.22399999999999998,0.036000000000000004,0.003,,,,,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17038,USA,United States,2020-03-07,338,105,14,2,1.021,0.317,0.042,0.006,3753.0,,0.011000000000000001,,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17039,USA,United States,2020-03-08,433,95,17,3,1.308,0.287,0.051,0.009000000000000001,4624.0,871.0,0.013999999999999999,0.003,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17040,USA,United States,2020-03-09,554,121,21,4,1.6740000000000002,0.366,0.063,0.012,6420.0,1796.0,0.019,0.005,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17041,USA,United States,2020-03-10,754,200,26,5,2.278,0.604,0.079,0.015,8832.0,2412.0,0.027000000000000003,0.006999999999999999,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17042,USA,United States,2020-03-11,1025,271,28,2,3.097,0.8190000000000001,0.085,0.006,12580.0,3748.0,0.038,0.011000000000000001,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17043,USA,United States,2020-03-12,1312,287,30,2,3.964,0.867,0.091,0.006,17717.0,5137.0,0.054000000000000006,0.016,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17044,USA,United States,2020-03-13,1663,351,40,10,5.024,1.06,0.121,0.03,26773.0,9056.0,0.081,0.027000000000000003,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17045,USA,United States,2020-03-14,2174,511,47,7,6.568,1.544,0.142,0.021,31273.0,4500.0,0.094,0.013999999999999999,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17046,USA,United States,2020-03-15,2951,777,57,10,8.915,2.347,0.172,0.03,38948.0,7675.0,0.11800000000000001,0.023,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17047,USA,United States,2020-03-16,3774,823,69,12,11.402000000000001,2.4859999999999998,0.20800000000000002,0.036000000000000004,56611.0,17663.0,0.171,0.053,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17048,USA,United States,2020-03-17,4661,887,85,16,14.081,2.68,0.257,0.048,72185.0,15574.0,0.218,0.047,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17049,USA,United States,2020-03-18,6427,1766,108,23,19.417,5.335,0.326,0.069,96858.0,24673.0,0.293,0.075,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17050,USA,United States,2020-03-19,9415,2988,150,42,28.444000000000003,9.027000000000001,0.45299999999999996,0.127,124258.0,27400.0,0.375,0.083,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
